"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV513"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__JACPNG01"," g__JACPNE01",1,1,9,0,0,0,0,1,1,0,0,1,0,7,2,3,0,0,0,0,0,3,0,0,0
"ASV514"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__RBG-16-60-22"," g__JACPQC01",1,0,0,1,0,0,0,1,1,0,0,0,0,30,0,27,0,0,3,0,2,24,0,0,0
"ASV515"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__JACPPY01"," f__JACPPY01"," g__JACPRR01",1,0,0,0,0,1,0,2,0,3,0,0,0,22,0,128,0,0,18,0,2,431,20,0,8
"ASV516"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__UBA2162"," g__JACPSA01",2,1,8,2,0,0,0,3,0,2,0,11,0,93,1,120,0,0,19,0,8,216,14,0,0
"ASV517"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__JACPYF01"," g__JACPYF01",2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,2,0,0,0,0,252,0,0
"ASV518"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__Staskawiczbacteraceae"," g__JACPYG01",1,0,9,3,1,1,0,2,3,1,0,0,0,6,15,21,0,0,0,0,0,621,2,0,0
"ASV519"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__UBA2162"," g__JACQGQ01",6,0,7,1,0,0,0,6,0,1,0,4,0,135,0,68,0,0,25,0,16,140,8,0,1
"ASV520"," d__Bacteria"," p__Patescibacteria"," c__UBA1384"," o__JACPKC01"," f__JACPKC01"," g__JACQIO01",1,0,85,0,0,0,0,1,10,0,0,0,0,0,7,34,0,0,1,0,0,16,19,0,0
"ASV521"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__JACPNG01"," g__JACQNI01",1,0,68,0,0,0,0,0,1,0,0,1,0,2,1,4,0,0,0,0,0,14,0,0,0
"ASV522"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," g__JACQPU01",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
