"","DMO-GOWN-C1-20200316","DMO-GOWN-C10-20200316","DMO-GOWN-C12-20200316","DMO-GOWN-C13-20200316","DMO-GOWN-C15-20200316","DMO-GOWN-C17-20200316","DMO-GOWN-C18-20200316","DMO-GOWN-C19-20200316","DMO-GOWN-C20-20200316","DMO-GOWN-C21-20200316","DMO-GOWN-C24-20200316","DMO-GOWN-C3-20200316","DMO-GOWN-C4-20200316","DMO-GOWN-C5-20200316","DMO-GOWN-C8-20200316","DMO-GOWN-C9-20200316","DMO-GOWN-E1-20200316","DMO-GOWN-E10-20200316","DMO-GOWN-E14-20200316","DMO-GOWN-E19-20200316","DMO-GOWN-E2-20200316","DMO-GOWN-E21-20200316","DMO-GOWN-E23-20200316","DMO-GOWN-E6-20200316","DMO-GOWN-E9-20200316","MDI-GOWN-C1-20200316","MDI-GOWN-C10-20200316","MDI-GOWN-C12-20200316","MDI-GOWN-C13-20200316","MDI-GOWN-C15-20200316","MDI-GOWN-C17-20200316","MDI-GOWN-C18-20200316","MDI-GOWN-C19-20200316","MDI-GOWN-C20-20200316","MDI-GOWN-C21-20200316","MDI-GOWN-C24-20200316","MDI-GOWN-C3-20200316","MDI-GOWN-C4-20200316","MDI-GOWN-C5-20200316","MDI-GOWN-C8-20200316","MDI-GOWN-C9-20200316","MDI-GOWN-E1-20200316","MDI-GOWN-E10-20200316","MDI-GOWN-E14-20200316","MDI-GOWN-E19-20200316","MDI-GOWN-E2-20200316","MDI-GOWN-E21-20200316","MDI-GOWN-E23-20200316","MDI-GOWN-E6-20200316","MDI-GOWN-E9-20200316"
"ASV481",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ASV483",0,0,0,0,4,0,0,0,51,18,0,0,0,13,0,0,0,9,14,6,0,0,0,0,0,0,0,0,0,8,0,0,0,38,22,0,0,5,52,0,0,0,0,55,0,0,0,0,9,0
"ASV484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV486",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV487",0,203,0,9,4,83,15,14,0,0,11,1407,0,0,148,1205,74,361,0,0,73,28,0,78,0,0,88,0,24,13,15,0,0,0,0,40,1695,0,0,168,337,52,115,0,0,36,6,0,132,0
"ASV488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV490",0,199,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,84,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"ASV492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV493",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV494",0,0,37,10,0,0,0,0,0,6,60,0,0,0,0,0,0,0,55,10,0,0,0,7,0,0,0,91,16,0,0,0,0,0,0,131,0,0,0,0,0,0,0,78,0,0,0,0,15,0
"ASV495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"ASV497",0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV498",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"ASV501",0,0,0,0,2,0,0,0,59,0,0,0,0,0,0,0,0,0,20,10,0,0,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV502",0,0,46,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"ASV503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
