"","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV7238",0,0,0,10,1,0,0,1,1,2,0,6,0,1,0,0,0,0,20,0,2,0,2,0,1
"ASV7239",0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,3,0,0,2,0,4,17,9,0,0
"ASV7240",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ASV7241",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7242",0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0
"ASV7243",0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,1
"ASV7244",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"ASV7245",0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,2,0
"ASV7246",0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"ASV7247",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"ASV7248",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
"ASV7249",0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,3,0,1,0,0
"ASV7250",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"ASV7251",0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,2,0,0,1,0,1,11,2,0,0
"ASV7252",0,0,0,4,1,0,4,1,0,0,0,0,2,0,32,0,0,2,4,0,23,1,4,0,0
"ASV7253",0,0,0,3,0,0,0,16,1,0,0,9,7,905,7,0,0,0,11,0,52,2,7,1,3
"ASV7254",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7255",0,0,0,2,0,0,0,1,5,0,0,0,0,0,9,8,0,3,0,0,9,0,0,0,0
"ASV7256",0,0,0,8,0,0,0,39,5,0,0,135,0,0,0,0,0,0,34,0,0,3,1,0,0
"ASV7257",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,7,0,0,7,0,3,1,1,0,0
"ASV7258",0,0,0,8,0,0,0,3,4,0,0,0,0,0,21,1,0,0,2,0,3,0,2,0,0
"ASV7259",0,0,0,2,0,0,0,0,11,0,0,2,0,26,7,0,0,0,0,0,0,10,1,0,0
"ASV7260",0,0,0,1,0,0,0,0,10,0,0,0,0,45,0,19,0,0,0,0,1,20,1,0,0
"ASV7261",0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,2,0,0,1
"ASV7262",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7263",0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,19,0,0
"ASV7264",0,0,0,4,0,0,0,12,5,8,0,0,0,0,9,6,1,0,0,0,9,3,7,0,0
"ASV7265",0,0,0,45,0,0,0,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"ASV7266",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ASV7267",0,0,0,2,0,0,0,0,1,0,0,0,0,6,1,2,1,0,0,0,0,2,1,0,0
"ASV7268",0,0,0,1,0,0,0,1,0,0,0,0,0,16,12,0,0,0,0,0,0,2,0,0,0
"ASV7269",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV7270",0,0,0,2,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0
"ASV7271",0,0,0,9,0,0,1,2,3,2,0,9,0,0,5,0,0,0,7,0,1,0,0,0,2
"ASV7272",0,0,0,1,0,0,0,11,4,0,0,1,1,3,2,0,0,0,0,0,2,0,3,0,0
"ASV7273",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"ASV7274",0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,0
"ASV7275",0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,46,0,0,0,0
"ASV7276",0,0,0,1,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,3,1,1,0,1
"ASV7277",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV7278",0,0,0,2,0,0,0,1,1,0,0,3,0,0,0,0,1,0,3,0,1,0,0,0,0
"ASV7279",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV7280",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV7281",0,0,0,1,0,0,0,0,0,2,0,0,0,9,0,1,0,0,1,0,4,3,2,0,0
"ASV7282",0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7283",0,0,0,14,0,1,0,1,21,1,0,2,0,15,3,125,0,0,1,0,0,23,5,3,0
"ASV7284",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV7285",0,0,0,2,0,0,0,6,0,0,0,2,0,0,2,0,1,0,0,0,0,0,2,0,0
"ASV7286",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV7287",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7288",0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV7289",0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV7290",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0
"ASV7291",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0
"ASV7292",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7293",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,2,0,0,4,0,0
"ASV7294",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
"ASV7295",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7296",0,0,0,2,0,0,0,0,0,0,0,2,0,6,1,0,0,0,4,0,3,7,1,1,0
"ASV7297",0,0,0,1,0,0,0,7,15,0,0,9,0,5,18,0,0,0,4,1,34,149,3,0,0
"ASV7298",0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,3,0,0,1
"ASV7299",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7300",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV7301",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0
"ASV7302",0,0,0,1,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0
"ASV7303",0,0,0,7,5,0,0,6,0,5,2,9,0,0,1,4,0,0,0,0,0,11,3,0,1
"ASV7304",0,0,0,1,1,0,1,0,0,0,0,0,3,0,4,6,0,0,1,2,8,7,0,5,0
"ASV7305",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,7,12,0,3,0,2,1,6,0,0
"ASV7306",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"ASV7307",0,0,0,3,0,0,0,0,0,3,0,0,0,18,2,1,0,0,1,5,1,2,24,12,0
"ASV7308",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7309",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7310",0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,2,0,0
"ASV7311",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,4,0
"ASV7312",0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,5,0,0,1,0,1,0,0,1,0
"ASV7313",0,0,0,0,2,0,0,0,1,0,0,2,0,5,1,2,0,0,1,0,0,0,3,0,0
"ASV7314",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7315",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7316",0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,4,0
"ASV7317",0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0
"ASV7318",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7319",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,8,18,1,0
"ASV7320",0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,0,0,0,0
"ASV7321",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7322",0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0
"ASV7323",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7324",0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"ASV7325",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV7326",0,0,0,0,1,0,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0
"ASV7327",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7328",0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,2,0,0,1,1,0,10,2,0,0
"ASV7329",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
"ASV7330",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0
"ASV7331",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7332",0,0,0,0,1,0,0,2,0,3,0,8,0,0,0,0,0,1,0,0,4,1,0,0,5
"ASV7333",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7334",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7335",0,0,0,0,9,0,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,14,56,0
"ASV7336",0,0,0,0,4,1,0,3,3,2,0,2,0,0,3,0,1,1,3,0,8,2,0,4,1
"ASV7337",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7338",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"ASV7339",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7340",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV7341",0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0
"ASV7342",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
"ASV7343",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7344",0,0,0,0,1,2,0,13,0,1,0,0,0,0,0,0,0,0,5,0,0,2,13,0,0
"ASV7345",0,0,0,0,2,23,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0
"ASV7346",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0
"ASV7347",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV7348",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7349",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7350",0,0,0,0,3,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0
"ASV7351",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7352",0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7353",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"ASV7354",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7355",0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ASV7356",0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV7357",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0
"ASV7358",0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,15,0,3,5,15,0,0
"ASV7359",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7360",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV7361",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
"ASV7362",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV7363",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7364",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV7365",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7366",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7367",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"ASV7368",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7369",0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7370",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ASV7371",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7372",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7373",0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0
"ASV7374",0,0,0,0,1,0,0,2,0,10,0,0,0,4,2,0,1,0,0,0,0,0,1,0,1
"ASV7375",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7376",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7377",0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,10,0,14,0,0,0,3,0,1
"ASV7378",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,3,0
"ASV7379",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
"ASV7380",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV7381",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"ASV7382",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV7383",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"ASV7384",0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0
"ASV7385",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"ASV7386",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV7387",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV7388",0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,1,0,0,5,0,2,2,214,27,0
"ASV7389",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"ASV7390",0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"ASV7391",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7392",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,2,0
"ASV7393",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"ASV7394",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV7395",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2,0,0,0
"ASV7396",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,0
"ASV7397",0,0,0,0,1,0,0,2,0,0,0,0,2,4,0,2,0,0,1,0,5,1,0,0,0
"ASV7398",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV7399",0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"ASV7400",0,0,0,0,1,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"ASV7401",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7402",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7403",0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0
"ASV7404",0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,13,10,0,0
"ASV7405",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7406",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7407",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"ASV7408",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7409",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7410",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7411",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0
"ASV7412",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,1,4,0,0
"ASV7413",0,0,0,0,1,0,0,0,68,0,0,1,0,0,0,0,0,0,0,0,0,874,192,0,2
"ASV7414",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV7415",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV7416",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7417",0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0
"ASV7418",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7419",0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"ASV7420",0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,1,0,1
"ASV7421",0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,2,0,0,8,0,0,1,5,0,0
"ASV7422",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7423",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7424",0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,2,0,0
"ASV7425",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV7426",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"ASV7427",0,0,0,0,1,0,0,0,445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"ASV7428",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7429",0,0,0,0,2,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,5,1
"ASV7430",0,0,0,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7431",0,0,0,0,486,0,1,218,18,7,0,392,0,1,0,1,0,0,75,0,1,4,4,0,0
"ASV7432",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7433",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV7434",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7435",0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,14,0,0,0
"ASV7436",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7437",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
"ASV7438",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7439",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ASV7440",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV7441",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"ASV7442",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7443",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV7444",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7445",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7446",0,0,0,0,1,187,1301,0,0,2,0,0,0,0,0,1,0,94,0,0,0,0,0,0,0
"ASV7447",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1
"ASV7448",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7449",0,0,0,0,1,0,0,4,2,0,0,7,0,2,1,50,0,0,0,0,0,3,4,0,0
"ASV7450",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV7451",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"ASV7452",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV7453",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1
"ASV7454",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,540,3
"ASV7455",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7456",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
"ASV7457",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7458",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,2,0,0,0
"ASV7459",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7460",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV7461",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7462",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV7463",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
"ASV7464",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7465",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7466",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV7467",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7468",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
