"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV235","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Chryseoglobus"
"ASV236","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Chryseomicrobium"
"ASV237","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseotalea"
"ASV238","Bacteria","Armatimonadota","Chthonomonadia","Chthonomonadales","Chthonomonadales","Chthonomonadales"
"ASV239","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea"
"ASV240","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Cloacimonadaceae"
"ASV241","Bacteria","Bacillota","Clostridia","Clostridia","Clostridia","Clostridia"
"ASV242","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae"
"ASV243","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"ASV244","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas"
"ASV245","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia"
"ASV246","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae"
"ASV247","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Conyzicola"
"ASV248","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriia","Coriobacteriia","Coriobacteriia"
"ASV249","Bacteria","Pseudomonadota","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"ASV250","Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix"
"ASV251","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomicaceae"
"ASV252","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Cryomorphaceae"
"ASV253","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV254","Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriia","Cyanobacteriia","Cyanobacteriia"
"ASV255","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cypionkella"
"ASV256","Bacteria","Bacillota","D8A-2","D8A-2","D8A-2","D8A-2"
"ASV257","Bacteria","Planctomycetota","Phycisphaerae","DG-20","DG-20","DG-20"
"ASV258","Bacteria","Armatimonadota","DG-56","DG-56","DG-56","DG-56"
"ASV259","Bacteria","DTB120","DTB120","DTB120","DTB120","DTB120"
"ASV260","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Daeguia"
"ASV261","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella"
"ASV262","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"ASV263","Archaea","Aenigmarchaeota","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)"
"ASV264","Bacteria","Deferrisomatota","Deferrisomatia","Deferrisomatales","Deferrisomataceae","Deferrisoma"
"ASV265","Bacteria","Chloroflexota","Dehalococcoidia","Dehalococcoidales","Dehalococcoidales","Dehalococcoidales"
"ASV266","Bacteria","Chloroflexota","Dehalococcoidia","Dehalococcoidia","Dehalococcoidia","Dehalococcoidia"
"ASV267","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Demequinaceae","Demequina"
"ASV268","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma"
"ASV269","Bacteria","Desantisbacteria","Desantisbacteria","Desantisbacteria","Desantisbacteria","Desantisbacteria"
"ASV270","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfatibacillaceae","Desulfatibacillaceae"
"ASV271","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatiferula"
"ASV272","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfatirhabdiaceae","Desulfatirhabdiaceae"
"ASV273","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfatirhabdiaceae","Desulfatirhabdium"
"ASV274","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfatitalea"
"ASV275","Bacteria","Bacillota","Moorellia","Desulfitibacterales","Desulfitibacteraceae","Desulfitibacter"
"ASV276","Bacteria","Bacillota","Clostridia","Peptococcales","Peptococcaceae","Desulfitispora"
"ASV277","Bacteria","Bacillota","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriales","Desulfitobacteriales"
"ASV278","Bacteria","Thermodesulfobacteriota","Desulfobaccia","Desulfobaccales","Desulfobaccaceae","Desulfobacca"
"ASV279","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacteraceae"
"ASV280","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacterales","Desulfobacterales"
"ASV281","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacula"
"ASV282","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbaceae"
"ASV283","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbales","Desulfobulbales"
"ASV284","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus"
"ASV285","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocapsa"
"ASV286","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocapsaceae"
"ASV287","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocastanea"
"ASV288","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfoconvexum"
"ASV289","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfolunaceae","Desulfolunaceae"
"ASV290","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"ASV291","Bacteria","Thermodesulfobacteriota","Desulfomonilia","Desulfomonilales","Desulfomonilaceae","Desulfomonile"
"ASV292","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum"
"ASV293","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfonauticaceae","Desulfonauticaceae"
"ASV294","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfoprunum"
"ASV295","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulforegulaceae","Desulforegula"
"ASV296","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulforhopalus"
"ASV297","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcinaceae"
"ASV298","Bacteria","Bacillota","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV299","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","Desulfurivibrio"
"ASV300","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","Desulfurivibrionaceae"
"ASV301","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonadaceae"
"ASV302","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas"
"ASV303","Bacteria","Bacillota","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","Dethiobacter"
"ASV304","Bacteria","Bacillota","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","Dethiobacteraceae"
"ASV305","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Dethiosulfatibacteraceae","Dethiosulfatibacter"
"ASV306","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia"
"ASV307","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosiaceae"
"ASV308","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Dietziaceae","Dietzia"
"ASV309","Bacteria","Patescibacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria"
"ASV310","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Dokdonella"
"ASV311","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"ASV312","Bacteria","Chloroflexota","Dehalococcoidia","DscP2","DscP2","DscP2"
"ASV313","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV314","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Dyadobacter"
"ASV315","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonadaceae"
"ASV316","Bacteria","Chloroflexota","Dehalococcoidia","ER-E4-17","ER-E4-17","ER-E4-17"
"ASV317","Bacteria","Bacillota","Bacilli","Acholeplasmatales","Acholeplasmataceae","EUB33-2"
"ASV318","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum"
"ASV319","Bacteria","Edwardsbacteria","Edwardsbacteria","Edwardsbacteria","Edwardsbacteria","Edwardsbacteria"
