"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV497","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"ASV498","Bacteria","Chloroflexota","Anaerolineae","MSB-5B2","MSB-5B2","MSB-5B2"
"ASV499","Bacteria","Chloroflexota","Anaerolineae","MSB-5E12","MSB-5E12","MSB-5E12"
"ASV500","Bacteria","Cloacimonadota","Cloacimonadia","MSBL2","MSBL2","MSBL2"
"ASV501","Bacteria","Chloroflexota","Dehalococcoidia","MSBL5","MSBL5","MSBL5"
"ASV502","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","MSBL7"
"ASV503","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","MSBL8"
"ASV504","Bacteria","Nitrospinota","MT5B39","MT5B39","MT5B39","MT5B39"
"ASV505","Bacteria","Spirochaetota","MVP-15","MVP-15","MVP-15","MVP-15"
"ASV506","Bacteria","Elusimicrobiota","Elusimicrobia","MVP-88","MVP-88","MVP-88"
"ASV507","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides"
"ASV508","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospiraceae"
"ASV509","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"ASV510","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetovibrio"
"ASV511","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Malikia"
"ASV512","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria"
"ASV513","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis"
"ASV514","Archaea","Thermoproteota","Nitrososphaeria","Marine Benthic Group A","Marine Benthic Group A","Marine Benthic Group A"
"ASV515","Archaea","Thermoplasmatota","Thermoplasmata","Incertae Sedis","Incertae Sedis","Marine Benthic Group D and DHVEG-1"
"ASV516","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II","Marine Group II","Marine Group II"
"ASV517","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus"
"ASV518","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Marinifilaceae"
"ASV519","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Marinilabiliaceae"
"ASV520","Bacteria","Marinimicrobia (SAR406 clade)","Marinimicrobia (SAR406 clade)","Marinimicrobia (SAR406 clade)","Marinimicrobia (SAR406 clade)","Marinimicrobia (SAR406 clade)"
"ASV521","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas"
"ASV522","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","Marivibrio"
"ASV523","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV524","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV525","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Mesorhizobium"
"ASV526","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacteriaceae"
"ASV527","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"ASV528","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocalculus"
"ASV529","Archaea","Halobacteriota","Methanocellia","Methanocellales","Methanocellaceae","Methanocella"
"ASV530","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanococcoides"
"ASV531","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum"
"ASV532","Archaea","Methanobacteriota","Thermococci","Methanofastidiosales","Methanofastidiosales","Methanofastidiosales"
"ASV533","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanolobus"
"ASV534","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccaceae"
"ASV535","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccales","Methanomassiliicoccales"
"ASV536","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus"
"ASV537","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilaceae"
"ASV538","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanomicrobiales","Methanomicrobiales"
"ASV539","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula"
"ASV540","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina"
"ASV541","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanosphaerula"
"ASV542","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum"
"ASV543","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosaetaceae","Methanothrix"
"ASV544","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium"
"ASV545","Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylicorpusculum"
"ASV546","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylobacillus"
"ASV547","Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"ASV548","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium"
