"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C24","C3","C4","C5","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E6","E9"
"368","ASV420","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","ASV422","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"370","ASV426","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",0,0,0,0,13,0,92,0,0,0,0,8,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0
"371","ASV427","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"372","ASV430","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Iodobacter",0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373","ASV431","Bacteria","Bacillota","Bacilli","Izemoplasmatales","Izemoplasmataceae","Izemoplasmataceae",0,0,0,0,0,0,0,0,31,29,0,0,0,0,9,0,6,16,0,0,0,0,0,0,0,0,98,0,0,0,0,137,33,14,0,8,0,0
"374","ASV432","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45",0,0,0,87,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0
"375","ASV433","Bacteria","Chloroflexota","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66",9,0,0,26,0,0,30,0,0,0,0,10,0,33,0,0,0,0,0,0,0,5,4,119,0,5,0,0,0,0,0,0,0,0,14,15,11,0
"376","ASV434","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22","JGI 0000069-P22","JGI 0000069-P22",0,392,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0
"377","ASV435","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378","ASV436","Bacteria","Atribacterota","JS1","JS1","JS1","JS1",0,0,0,0,0,0,11,0,0,0,0,32,0,0,10,0,0,0,0,0,0,18,0,0,0,134,0,0,0,0,0,93,276,17,0,31,0,25
"379","ASV437","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Incertae Sedis","JTB215",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380","ASV438","Bacteria","Pseudomonadota","Gammaproteobacteria","JTB23","JTB23","JTB23",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381","ASV440","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
"382","ASV441","Bacteria","Chloroflexota","Dehalococcoidia","JdFR-54","JdFR-54","JdFR-54",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"383","ASV443","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0
"384","ASV445","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","KD3-93",0,0,0,0,83,35,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,32,0,0,0,0,86,94,0,0,0,0,0,0,0,0,0
"385","ASV446","Bacteria","Chloroflexota","KD4-96","KD4-96","KD4-96","KD4-96",4,0,57,69,0,13,53,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,138,10,19,0,14,0,0,0,0,0,0,0,0,0,0,0
"386","ASV448","Bacteria","Candidatus Kapabacteria","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales",0,0,0,72,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,2,0
"387","ASV449","Bacteria","Patescibacteria","Kazania","Kazania","Kazania","Kazania",0,0,0,12,8,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388","ASV454","Bacteria","LCP-89","LCP-89","LCP-89","LCP-89","LCP-89",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"389","ASV455","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","LD-RB-34","LD-RB-34",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390","ASV456","Bacteria","Chlamydiota","Chlamydiia","LD1-PA32","LD1-PA32","LD1-PA32",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
