RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.473,28121.2,1.43461E-06,0.0403429,N20_20250129_220PM_SHLNWO3-20250121-1100AM-SMPL,20250129_231350243_iOS
1.471,13397.4,1.43461E-06,0.0192201,N2O_20250129_220PM_SSLNNO1-20250121-1100AM-SMPL,20250129_231634752_iOS
1.471,20204.7,1.43461E-06,0.0289859,N2O_20250129_220PM_SSLNNO2-20250121-1100AM-SMPL,20250129_231913729_iOS
1.470 BB,33406.1,1.43461E-06,0.0479248,N2O_20250129_220PM_SSLNNO3-20250121-1100AM-SMPL,20250129_232148287_iOS
1.47,20968.5,1.43461E-06,0.0300816,N20_20250129_220PM_SNNNO1-20250121-1100AM-SMPL,20250129_232430596_iOS
1.469,31396.2,1.43462E-06,0.0450414,N20_20250129_220PM_SNNNO2-20250121-1100AM-SMPL,20250129_232711991_iOS
1.47,23955.88,1.43461E-06,0.0343715,N20_20250129_220PM_SNNNO3-20250121-1100AM-SMPL,20250129_232949373_iOS
1.468,22266,1.43461E-06,0.0319431,N2O_20250129_220PM_SSLNWO1-20250121-1100AM-SMPL,20250129_233238456_iOS
1.468,20240.1,1.43461E-06,0.029036,N2O_20250129_220PM_SSLNWO2-20250121-1100AM-SMPL,20250129_233520177_iOS
,23503.4,1.43461E-06,0.0337182,N2O_20250129_220PM_SSLNWO3-20250121-1100AM-SMPL,20250129_233756666_iOS
RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.469,285659,1.43014E-06,0.408531,N2O_20250127_1200PM_SALNNO3-20250121-1100AM-SMPL,IMG_20250127_130914
1.47,28203.3,1.43014E-06,0.0403346,N20_20250127_1200PM_SANNN01-20250121-1100AM-SMPL,IMG_20250127_131242
1.469,42080.9,1.43014E-06,0.0601815,N20_20250127_1200PM_SANNNO2-20250121-1100AM-SMPL,IMG_20250127_131559
1.468,38652.6,1.43014E-06,0.0552785,N20_20250127_1200PM_SANNNO3-20250121-1100AM-SMPL,IMG_20250127_131906
1.467,5244.03223,1.43014E-06,0.00749969,N20_20250127_1200PM_SALNWO1-20250121-1100AM-SMPL,IMG_20250127_132224
1.467,14655,1.43014E-06,0.0209587,N2O_20250127_1200PM_SALNWO2-20250121-1100AM-SMPL,IMG_20250127_132546
1.465,36144.4,1.43014E-06,0.0516914,N20_20250127_1200PM_SALNWO3-20250121-1100AM-SAMPL,IMG_20250127_132912
1.464,10784,1.43014E-06,0.0154226, N20_20250127_1200PM_SHLNNO1-20250121-1100AM-SMPL,IMG_20250127_133257
1.464,11345.5,1.43014E-06,0.0162256,N20_20250127_1200PM_SHLNNO2-20250121-1100AM-SMPL,IMG_20250127_133703
1.462,9386.28516,1.43014E-06,0.0134237,N20_20250127_1200PM_SHLNNO3-20250121-1100AM-SMPL,IMG_20250127_133957
1.463,10382.9,1.43014E-06,0.014849, N20_20250127_1200PM_SHNNNO1-20259121-1100AM-SMPL,IMG_20250127_134341
1.461,8693.45996,1.43014E-06,0.0124328,N2O_20250127_1200PM_SHNNNO2-20250121-1100AM-SMPL,IMG_20250127_134655
1.461,8641.37109,1.43014E-06,0.0123583,N20_20250127_1200PM_SHNNNO3-20250121-1100AM-SAMPL,IMG_20250127_135014
1.46,3398.91284,1.43014E-06,0.00486091,N20_20250127_1200PM_SHLNWO1-20250121-1100AM-SAMPL,IMG_20250127_135341
1.46,7322.8335,1.43014E-06,0.0104727,N20_20250127_1200PM_SHLNWO2-20250121-1100AM-SAMPL,IMG_20250127_135710
1.458,5579.7041,1.43014E-06,0.00797974,N20_20250127_1200PM_SHLNWO3-20250121-1100AM-SAMPL,IMG_20250127_140016
1.458,7958.13232,1.43014E-06,0.0113812,N20_20250127_1200PM_SSLNNO1-20250121-1100AM-SAMPL,IMG_20250127_140500
1.458,11129.8,1.43014E-06,0.0159172,N20_20250127_1200PM_SSLNNO2-20250121-1100AM-SMPL,IMG_20250127_140816
1.457,16676.2,1.43014E-06,0.0238493,N20_20250127_1200PM_SSLNNO3-20250121-1100AM-SMPL,IMG_20250127_141142
1.455,8298.63281,1.43014E-06,0.0118682,N20_20250127_1200PM_SSNNNO1-20250121-1100AM-SMPL,IMG_20250127_141432
1.455,12717.1,1.43014E-06,0.0181872,N20_20250127_1200PM_SSNNNO2-20250121-1100AM-SMPL,IMG_20250127_141734
1.455,11515.5,1.43014E-06,0.0164688,N20_20250127_1200PM_SSNNNO3-20250121-1100AM-SMPL,IMG_20250127_142147
1.454,11233.6,1.43014E-06,0.0160655,N20_20250127_1200PM_SSLNWO1-20250121-1100AM-SMPL,IMG_20250127_142524
1.453,11047,1.43014E-06,0.0157987,N2_20250127_1200PM_SSLNWO2-20250121-1100AM-SMPL,IMG_20250127_142810
1.453,14069.4,1.43014E-06,0.0201211, N20_20250127_1200PM_SSLNWO3-20250121-1100AM-SAMPL,IMG_20250127_143204
