Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_BACT-G13-GW126_20251031,G13,BACT,GW126,2025,GOWN
GLC_25GOWN_BACT-G14-GW328_20251031,G14,BACT,GW328,2025,GOWN
GLC_25GOWN_BACT-G15-GW3089_20251031,G15,BACT,GW3089,2025,GOWN
GLC_25GOWN_BACT-G16-GW340_20251031,G16,BACT,GW340,2025,GOWN
GLC_25GOWN_BACT-G17-GW628_20251031,G17,BACT,GW628,2025,GOWN
GLC_25GOWN_BACT-G18-GW626_20251031,G18,BACT,GW626,2025,GOWN
GLC_25GOWN_BACT-G19-GW175_20251031,G19,BACT,GW175,2025,GOWN
GLC_25GOWN_BACT-G20-GW3103_20251031,G20,BACT,GW3103,2025,GOWN
GLC_25GOWN_BACT-G21-GW292_20251031,G21,BACT,GW292,2025,GOWN
GLC_25GOWN_BACT-G22-GW429_20251031,G22,BACT,GW429,2025,GOWN
GLC_25GOWN_BACT-G23-GW374_20251031,G23,BACT,GW374,2025,GOWN
GLC_25GOWN_BACT-G24-GW373_20251031,G24,BACT,GW373,2025,GOWN
GLC_25GOWN_BACT-G25-GW364_20251031,G25,BACT,GW364,2025,GOWN
GLC_25GOWN_BACT-G26-GW449_20251031,G26,BACT,GW449,2025,GOWN
GLC_25GOWN_BACT-G27-GW143_20251031,G27,BACT,GW143,2025,GOWN
GLC_25GOWN_BACT-G28-GW178_20251031,G28,BACT,GW178,2025,GOWN
GLC_25GOWN_BACT-G29-GW176_20251031,G29,BACT,GW176,2025,GOWN
GLC_25GOWN_BACT-G30-GW148_20251031,G30,BACT,GW148,2025,GOWN
GLC_25GOWN_BACT-G31-GW339_20251031,G31,BACT,GW339,2025,GOWN
GLC_25GOWN_BACT-G32-GW376_20251031,G32,BACT,GW376,2025,GOWN
GLC_25GOWN_BACT-G33-GW237_20251031,G33,BACT,GW237,2025,GOWN
GLC_25GOWN_BACT-G34-GW267_20251031,G34,BACT,GW267,2025,GOWN
GLC_25GOWN_BACT-G35-GW294_20251031,G35,BACT,GW294,2025,GOWN
GLC_25GOWN_BACT-G36-GW3021_20251031,G36,BACT,GW3021,2025,GOWN
GLC_25GOWN_BACT-G37-GW4016_20251031,G37,BACT,GW4016,2025,GOWN
GLC_25GOWN_BACT-G38-GW481_20251031,G38,BACT,GW481,2025,GOWN
GLC_25GOWN_BACT-G39-GW931_20251031,G39,BACT,GW931,2025,GOWN
GLC_25GOWN_BACT-G40-GW456_20251031,G40,BACT,GW456,2025,GOWN
GLC_25GOWN_BACT-G41-GW162_20251031,G41,BACT,GW162,2025,GOWN
GLC_25GOWN_BACT-G42-GW274_20251031,G42,BACT,GW274,2025,GOWN
GLC_25GOWN_BACT-G43-GW295_20251031,G43,BACT,GW295,2025,GOWN
GLC_25GOWN_BACT-G44-NC_20251031,G44,BACT,NC,2025,GOWN
GLC_25GOWN_BACT-G45-NC_20251031,G45,BACT,NC,2025,GOWN
GLC_25GOWN_BACT-G46-GW760_20251031,G46,BACT,GW760,2025,GOWN
GLC_25GOWN_BACT-G47-GW218_20251031,G47,BACT,GW218,2025,GOWN
GLC_25GOWN_BACT-G48-GW217_20251031,G48,BACT,GW217,2025,GOWN
GLC_25GOWN_ARCH-09-GW110_20251021,P09,ARCH,GW110,2024,GOWN
GLC_25GOWN_ARCH-11-GW3103_20251021,P11,ARCH,GW3103,2024,GOWN
GLC_25GOWN_ARCH-12-GW339_20251021,P12,ARCH,GW339,2024,GOWN
GLC_25GOWN_ARCH-13-GW980_20251021,P13,ARCH,GW980,2024,GOWN
GLC_25GOWN_ARCH-14-GW117_20251021,P14,ARCH,GW117,2024,GOWN
GLC_25GOWN_ARCH-15-GW160_20251021,P15,ARCH,GW160,2024,GOWN
