NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_16GOWN_BACT-BE026-GW160_20180709_S115,ERU_GW160_BE026_S115_20180709,S115,20180709,BACT,16GOWN,BE026,ERU,GW160,Devon_Botanical_Garden,
ERU_16GOWN_BACT-BE026-GW160_20180709_S160,ERU_GW160_BE026_S160_20180709,S160,20180709,BACT,16GOWN,BE026,ERU,GW160,Devon_Botanical_Garden,
ERU_16GOWN_ARCH-BE026-GW160_20181025_S115_Av6,ERU_GW160_BE026_S115_Av6_20181025,S115_Av6,20181025,ARCH,16GOWN,BE026,ERU,GW160,Devon_Botanical_Garden,
ERU_16GOWN_ARCH-BE026-GW160_20181025_S160_Av6,ERU_GW160_BE026_S160_Av6_20181025,S160_Av6,20181025,ARCH,16GOWN,BE026,ERU,GW160,Devon_Botanical_Garden,
ERU_16GOWN_BACT-BE027-GW280_20180709_S6,ERU_GW280_BE027_S6_20180709,S6,20180709,BACT,16GOWN,BE027,ERU,GW280,Hayes_West_273_Hayes_East_replicate,
ERU_16GOWN_ARCH-BE027-GW280_20181025_S6_Av6,ERU_GW280_BE027_S6_Av6_20181025,S6_Av6,20181025,ARCH,16GOWN,BE027,ERU,GW280,Hayes_West_273_Hayes_East_replicate,
ERU_16GOWN_BACT-BE028-GW280_20180709_S21,ERU_GW280_BE028_S21_20180709,S21,20180709,BACT,16GOWN,BE028,ERU,GW280,Hayes_East,
ERU_16GOWN_ARCH-BE028-GW280_20181025_S21_Av6,ERU_GW280_BE028_S21_Av6_20181025,S21_Av6,20181025,ARCH,16GOWN,BE028,ERU,GW280,Hayes_East,
ERU_16GOWN_BACT-BE029-GW114_20180709_S85,ERU_GW114_BE029_S85_20180709,S85,20180709,BACT,16GOWN,BE029,ERU,GW114,Ross_Creek,
ERU_16GOWN_ARCH-BE029-GW114_20181025_S85_Av6,ERU_GW114_BE029_S85_Av6_20181025,S85_Av6,20181025,ARCH,16GOWN,BE029,ERU,GW114,Ross_Creek,
ERU_16GOWN_BACT-BE030-GW270_20180709_S89,ERU_GW270_BE030_S89_20180709,S89,20180709,BACT,16GOWN,BE030,ERU,GW270,Duvery,
ERU_16GOWN_ARCH-BE030-GW270_20181025_S89_Av6,ERU_GW270_BE030_S89_Av6_20181025,S89_Av6,20181025,ARCH,16GOWN,BE030,ERU,GW270,Duvery,
ERU_16GOWN_BACT-BE031-GW218_20180709_S22,ERU_GW218_BE031_S22_20180709,S22,20180709,BACT,16GOWN,BE031,ERU,GW218,Cluny_North,
ERU_16GOWN_ARCH-BE031-GW218_20181025_S22_Av6,ERU_GW218_BE031_S22_Av6_20181025,S22_Av6,20181025,ARCH,16GOWN,BE031,ERU,GW218,Cluny_North,
ERU_16GOWN_BACT-BE032-GW219_20180709_S35,ERU_GW219_BE032_S35_20180709,S35,20180709,BACT,16GOWN,BE032,ERU,GW219,Cluny_South,
ERU_16GOWN_ARCH-BE032-GW219_20181025_S35_Av6,ERU_GW219_BE032_S35_Av6_20181025,S35_Av6,20181025,ARCH,16GOWN,BE032,ERU,GW219,Cluny_South,
ERU_16GOWN_BACT-BE033-GW121_20180709_S8,ERU_GW121_BE033_S8_20180709,S8,20180709,BACT,16GOWN,BE033,ERU,GW121,Gem_66_7_0121,
ERU_16GOWN_ARCH-BE033-GW121_20181025_S8_Av6,ERU_GW121_BE033_S8_Av6_20181025,S8_Av6,20181025,ARCH,16GOWN,BE033,ERU,GW121,Gem_66_7_0121,
ERU_16GOWN_BACT-BE034-GW121_20180709_S69,ERU_GW121_BE034_S69_20180709,S69,20180709,BACT,16GOWN,BE034,ERU,GW121,Gem_66_7_0121,
ERU_16GOWN_ARCH-BE034-GW121_20181025_S69_Av6,ERU_GW121_BE034_S69_Av6_20181025,S69_Av6,20181025,ARCH,16GOWN,BE034,ERU,GW121,Gem_66_7_0121,
ERU_16GOWN_BACT-BE035-GW222_20180709_S59,ERU_GW222_BE035_S59_20180709,S59,20180709,BACT,16GOWN,BE035,ERU,GW222,Bigstone,
ERU_16GOWN_ARCH-BE035-GW222_20181025_S59_Av6,ERU_GW222_BE035_S59_Av6_20181025,S59_Av6,20181025,ARCH,16GOWN,BE035,ERU,GW222,Bigstone,
ERU_NAGOWN_BACT-BE036-GW298_20180709_S72,ERU_GW298_BE036_S72_20180709,S72,20180709,BACT,NAGOWN,BE036,ERU,GW298,NA,
ERU_NAGOWN_ARCH-BE036-GW298_20181025_S72_Av6,ERU_GW298_BE036_S72_Av6_20181025,S72_Av6,20181025,ARCH,NAGOWN,BE036,ERU,GW298,NA,
ERU_16GOWN_BACT-BE037-GW760_20180709_S30,ERU_GW760_BE037_S30_20180709,S30,20180709,BACT,16GOWN,BE037,ERU,GW760,Canmore_Tourist,
ERU_16GOWN_ARCH-BE037-GW760_20181025_S30_Av6,ERU_GW760_BE037_S30_Av6_20181025,S30_Av6,20181025,ARCH,16GOWN,BE037,ERU,GW760,Canmore_Tourist,
