NewName,OldName,OldSeqNumber,SeqDate,GenomeCode,Primer,Year,User,GOWNWell,GOWN Location,Sample ID
ERU_17GOWN_ARCH-BE137-GW275_20181025_S88_Av6,ERU_GW275_BE137_S88_Av6_20181025,S88_Av6,20181025,BE137,ARCH,17GOWN,ERU,GW275,Sounding_Creek,
ERU_17GOWN_BACT-BE138-GW381_20180709_S73,ERU_GW381_BE138_S73_20180709,S73,20180709,BE138,BACT,17GOWN,ERU,GW381,Meander_River,
ERU_17GOWN_ARCH-BE138-GW381_20181025_S73_Av6,ERU_GW381_BE138_S73_Av6_20181025,S73_Av6,20181025,BE138,ARCH,17GOWN,ERU,GW381,Meander_River,
ERU_17GOWN_ARCH-BE138-GW381_20181025_S73_Av4,ERU_GW381_BE138_S73_Av4_20181025,S73_Av4,20181025,BE138,ARCH,17GOWN,ERU,GW381,Meander_River,
ERU_17GOWN_BACT-BE139-GW191_20180709_S124,ERU_GW191_BE139_S124_20180709,S124,20180709,BE139,BACT,17GOWN,ERU,GW191,Rich_Lake,
ERU_17GOWN_ARCH-BE139-GW191_20181025_S124_Av6,ERU_GW191_BE139_S124_Av6_20181025,S124_Av6,20181025,BE139,ARCH,17GOWN,ERU,GW191,Rich_Lake,
ERU_17GOWN_BACT-BE140-GW101_20180709_S64,ERU_GW101_BE140_S64_20180709,S64,20180709,BE140,BACT,17GOWN,ERU,GW101,Del_Bonita,
ERU_17GOWN_ARCH-BE140-GW101_20181025_S64_Av6,ERU_GW101_BE140_S64_Av6_20181025,S64_Av6,20181025,BE140,ARCH,17GOWN,ERU,GW101,Del_Bonita,
ERU_17GOWN_BACT-BE141-GW111_20180709_S129,ERU_GW111_BE141_S129_20180709,S129,20180709,BE141,BACT,17GOWN,ERU,GW111,Orton,
ERU_17GOWN_ARCH-BE141-GW111_20181025_S129_Av6,ERU_GW111_BE141_S129_Av6_20181025,S129_Av6,20181025,BE141,ARCH,17GOWN,ERU,GW111,Orton,
ERU_17GOWN_BACT-BE142-GW126_20180709_S28,ERU_GW126_BE142_S28_20180709,S28,20180709,BE142,BACT,17GOWN,ERU,GW126,Olds,
ERU_17GOWN_ARCH-BE142-GW126_20181025_S28_Av6,ERU_GW126_BE142_S28_Av6_20181025,S28_Av6,20181025,BE142,ARCH,17GOWN,ERU,GW126,Olds,
ERU_17GOWN_BACT-BE143-GW291_20180709_S144,ERU_GW291_BE143_S144_20180709,S144,20180709,BE143,BACT,17GOWN,ERU,GW291,Crestomere,
ERU_17GOWN_ARCH-BE143-GW291_20181025_S144_Av6,ERU_GW291_BE143_S144_Av6_20181025,S144_Av6,20181025,BE143,ARCH,17GOWN,ERU,GW291,Crestomere,
ERU_17GOWN_BACT-BE144-GW384_20180709_S61,ERU_GW384_BE144_S61_20180709,S61,20180709,BE144,BACT,17GOWN,ERU,GW384,Raven,
ERU_17GOWN_ARCH-BE144-GW384_20181025_S61_Av6,ERU_GW384_BE144_S61_Av6_20181025,S61_Av6,20181025,BE144,ARCH,17GOWN,ERU,GW384,Raven,
