"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"422","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__GGB73360|s__GGB73360_SGB179665|t__SGB179665",NA,NA,NA,NA,NA,NA,0,357720,156572,239068,139770,0,380830,21778,373268,0,0,0,280795,0,0,0,0,178108,3134121,0,"bOTU_422"
"423","k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Anaerosomatales|f__Anaerosomataceae|g__GGB45441|s__GGB45441_SGB63111|t__SGB63111",NA,NA,NA,NA,NA,NA,0,0,0,3198,0,0,5995,0,0,3404,0,0,177938,69241,0,0,0,0,268268,0,"bOTU_423"
"424","k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__GGB56779|s__GGB56779_SGB78220|t__SGB78220",NA,NA,NA,NA,NA,NA,0,0,3216695,17229383,11007,0,7346899,0,0,8885,0,0,245595,0,0,0,0,0,0,0,"bOTU_424"
"425","k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__GGB43881|s__GGB43881_SGB170894|t__SGB170894",NA,NA,NA,NA,NA,NA,0,0,297264,471741,1224312,0,0,0,0,0,0,0,239393,0,0,0,16889,0,0,0,"bOTU_425"
"426","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_RAC01|t__SGB12704",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,161090,0,0,0,0,0,0,0,"bOTU_426"
"427","k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833|f__FGB4833|g__GGB37060|s__GGB37060_SGB104661|t__SGB104661",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2318,0,0,0,0,0,36828,19566,0,0,17102,0,0,0,"bOTU_427"
"428","k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833|f__FGB4833|g__GGB13943|s__GGB13943_SGB21366|t__SGB21366",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,7193,0,0,0,30745,51187,0,0,0,0,18714,0,"bOTU_428"
"429","k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Nocardia|s__Nocardia_salmonicida|t__SGB15850",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,58061,0,0,0,0,0,0,0,"bOTU_429"
"430","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_sp_Nsp13|t__SGB13341",NA,NA,NA,NA,NA,NA,0,0,7609,0,0,0,0,0,0,0,0,0,27465,0,0,0,0,0,8806,0,"bOTU_430"
"431","k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_SGB213469|t__SGB213469",NA,NA,NA,NA,NA,NA,0,0,26216,23014,0,36959,0,0,0,0,0,0,61225,0,0,0,0,0,0,0,"bOTU_431"
"432","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Acetobacterium|s__Acetobacterium_SGB83043|t__SGB83043",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,7497,9191,0,0,23890,13185,0,0,0,0,10080,0,"bOTU_432"
"433","k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790|f__FGB8790|g__GGB63214|s__GGB63214_SGB85494|t__SGB85494",NA,NA,NA,NA,NA,NA,0,13485,9314,9231,6574,6488,76065,0,120087,0,0,0,19457,0,0,0,0,0,4643317,0,"bOTU_433"
"434","k__Bacteria|p__Ignavibacteriota|c__CFGB2452|o__OFGB2452|f__FGB2452|g__GGB6735|s__GGB6735_SGB9528|t__SGB9528",NA,NA,NA,NA,NA,NA,0,0,55369,0,0,0,0,0,0,0,0,0,48731,0,0,0,0,0,0,0,"bOTU_434"
"435","k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira_sp_GIMC2001|t__SGB162776",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,15276,0,0,0,0,0,0,0,"bOTU_435"
