"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"81","k__Bacteria","p__Pseudomonadota","c__CFGB74431","o__OFGB74431","f__FGB74431",0,0,0,0,0,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,0,"bOTU_81"
"82","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Aestuariivirgaceae",0,0,205308,10152,53442,0,59358,0,0,8457,0,10645,0,0,0,0,12191,0,0,0,"bOTU_82"
"83","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Betaproteobacteria_unclassified","f__Betaproteobacteria_unclassified",0,0,27036,8255,27434,0,11484,0,0,11941,0,11882,0,0,0,0,21511,0,0,0,"bOTU_83"
"84","k__Bacteria","p__Pseudomonadota","c__CFGB92649","o__OFGB92649","f__FGB92649",0,0,0,0,0,0,0,0,0,0,0,4254,0,0,0,0,0,0,0,0,"bOTU_84"
"85","k__Bacteria","p__Acidobacteriota","c__CFGB10698","o__OFGB10698","f__FGB10698",0,0,0,0,0,0,0,0,0,0,0,8026,0,0,0,0,0,0,0,0,"bOTU_85"
"86","k__Bacteria","p__Cyanobacteriota","c__CFGB2052","o__OFGB2052","f__FGB2052",0,0,0,0,0,0,0,0,0,0,0,3405,0,0,0,0,0,0,0,0,"bOTU_86"
"87","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB49326","o__OFGB49326","f__FGB49326",0,0,0,0,0,0,0,0,0,0,0,18071,0,0,0,0,0,0,0,0,"bOTU_87"
"88","k__Archaea","p__Methanobacteriota","c__CFGB12411","o__OFGB12411","f__FGB12411",0,0,0,0,0,0,0,0,0,0,0,17298,0,0,0,0,0,0,0,0,"aOTU_88"
"89","k__Bacteria","p__Candidatus_Methylomirabilota","c__CFGB10892","o__OFGB10892","f__FGB10892",0,0,0,0,0,0,0,0,28707,10332,0,16197,0,0,0,0,0,0,0,0,"bOTU_89"
"90","k__Bacteria","p__Pseudomonadota","c__CFGB14846","o__OFGB14846","f__FGB14846",0,0,0,0,0,0,0,0,0,0,0,4291,0,0,0,0,0,0,0,0,"bOTU_90"
"91","k__Bacteria","p__Firmicutes","c__CFGB86086","o__OFGB86086","f__FGB86086",0,0,0,0,0,0,0,0,0,0,0,2121,0,0,0,0,0,0,0,0,"bOTU_91"
"92","k__Bacteria","p__Acidobacteriota","c__CFGB14605","o__OFGB14605","f__FGB14605",0,0,0,0,0,0,0,0,0,0,0,8300,0,0,0,0,0,0,0,0,"bOTU_92"
"93","k__Bacteria","p__Chloroflexota","c__CFGB37146","o__OFGB37146","f__FGB37146",0,0,0,0,0,0,0,0,0,0,0,2305,0,0,0,0,0,0,0,0,"bOTU_93"
"94","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Gallionellaceae",0,0,2447464,1236163,5156953,0,12953432,0,0,0,0,0,3900903,0,0,0,38059,0,8390547,0,"bOTU_94"
"95","k__Bacteria","p__Bacteroidota","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae",0,0,3355025,17245893,27978,0,8077861,0,0,19929,0,0,1783848,566195,54000,0,0,117898,292861,0,"bOTU_95"
"96","k__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae",0,0,7969,9009,0,45087,51157,635153,8203,979544,0,0,780803,1534334,0,8760,29295,190336,3644609,6417742,"aOTU_96"
"97","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Marinilabiliales","f__Prolixibacteraceae",0,0,0,13779,0,0,111118,0,0,28721,0,0,847644,9589,0,0,0,0,0,0,"bOTU_97"
"98","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Methylocystaceae",0,14475,39053,23074,273608,0,168539,0,0,0,0,0,651143,0,11030,9993,20859,0,20573,0,"bOTU_98"
"99","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Boseaceae",0,0,16530,0,38047,0,131745,0,0,0,0,0,517615,0,76903,0,0,0,0,0,"bOTU_99"
"100","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Anaerosomatales","f__Anaerosomataceae",0,0,0,3198,0,0,5995,0,0,3404,0,0,177938,69241,0,0,0,0,268268,0,"bOTU_100"
"101","k__Bacteria","p__Bacteroidota","c__CFGB4833","o__OFGB4833","f__FGB4833",0,0,0,0,0,0,2318,0,7193,0,0,0,67573,70753,0,0,31015,0,18714,0,"bOTU_101"
"102","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Nocardioidaceae",0,0,47861,48158,0,70335,0,0,0,12328,0,0,75678,0,12038,7488,6161,0,0,0,"bOTU_102"
"103","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae",0,0,0,0,0,0,0,0,7497,9191,0,0,39332,13185,0,0,0,0,24951,0,"bOTU_103"
"104","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB8790","o__OFGB8790","f__FGB8790",0,13485,28942,9231,6574,6488,76065,0,120087,0,0,0,77049,30135,0,0,57840,0,5161775,0,"bOTU_104"
